index,comic_book_store_name,address,city,state,latitude,longitude
265,Sports Cards Plus,1930 Howard Rd. #129,Madera,CA,36.9525859,-120.0820648
266,Stand-Up Comics,10020 San Pablo Ave.,El Cerrito,CA,37.901062,-122.3024832
267,Stars on Top,2002 Taraval St.,San Francisco,CA,37.74262082,-122.487507
268,Talkin Baseball,103 Town and Country Dr.,Danville,CA,37.81412782,-121.9986916
269,The Batcave,Whittier Blvd.,Whittier,CA,33.96785668,-118.0188036
270,The Book Juggler,182 S. Main St.,Willits,CA,39.41116904,-123.354596
271,The Collectors Cave,2072 Union St.,San Francisco,CA,37.79746325,-122.4332619
272,The Comic Bug,1807 1/2 Manhattan Beach Blvd.,Manhattan Beach,CA,33.88743631,-118.38064
273,The Comic Cellar,505 S. Myrtle Ave.,Monrovia,CA,34.1466915,-118.0012967
274,The Comic Cellar,135 W. Main St.,Alhambra,CA,34.09458024,-118.128305
275,The Comic Collector Shop,568 E. El Camino Real #A,Sunnyvale,CA,37.36271,-122.02711
276,The Comic Cult,12329 Imperial Hwy.,Norwalk,CA,33.91716295,-118.0699786
277,The Comic Shop,665 Bancroft Ave.,San Leandro,CA,37.7330776,-122.1509024
278,The Comic Vendor,1330 E. 223rd St. #508,Carson,CA,33.8234297,-118.2496499
279,The Comix Box,12571 Limonite Ave. #280,Mira Loma,CA,33.98278483,-117.5201761
280,The Escapist Comic Bookstore,3090 Claremont Ave,Berkeley,CA,37.8545204,-122.2486207
281,The Gaming Experience,3208 Stine Rd.,Bakersfield,CA,35.32588619,-119.0565813
282,"The Lions Den - Action Figures, Comics & Collectibles",1416 Clovis Ave. #206,Clovis,CA,36.81483857,-119.7003138
283,The Name of the Game of Camarillo,2510F Las Posas Rd.,Camarillo,CA,34.2367362,-119.0376746
284,The Realm Comics & Games,860 W. Imperial Hwy. #J/K,Brea,CA,33.9168767,-117.9114286
285,The Warhouse,630 W. Willow St.,Long Beach,CA,33.804105,-118.1999022
286,Third Planet Comics & Games,3631 Pacific Coast Hwy.,Torrance,CA,33.80426821,-118.3489043
287,Top CD & Comic,406 Barber Ln.,Milpitas,CA,37.41614609,-121.9144937
288,Trader J's Cards & Comics,7293 Village Pkwy.,Dublin,CA,37.71088614,-121.9272445
289,Treasure Island Comics,40819 Fremont Blvd.,Fremont,CA,37.5340044,-121.9624063
290,Triple Play Sports,31895 Mission Trail Rd.,Lake Elsinore,CA,33.65370788,-117.2969895
